id,comment,language
1,hola como estas,es
2,mañana te llamo,es
3,hoy tuve un gran dia y conoci a muchas personas,es
4,varios presidentes del mundo se reunieron en un congreso,es
5,apple acaba de lanzar un nuevo celular con nuevas funciones,es
6,me gusta jugar video juegos cuando me visitan mis primos,es
7,yesterday it was raining heavily,en
8,there are many fans expecting samsungs new smart phone,en
9,I hope it does not start snowing soon,en
10,This was a very long trip.  I need to rest.,en
